Week,Player,Position,Game,Points,Pass_Attempts,Pass_Completions,Yards,TD,INT,Two_Pass,Rush_Attempt,Rush_Yards,Rush_TD,Two_Rush,Receptions,Rec_Yards,Rec_TD,Two_Rec,FL,TD
1,Alfred Morris,RB,SF@MIN,2,0,0,0,0,0,0,12,38,0,0,0,0,0,0,1,0
1,Ty Montgomery,RB,CHI@GB,2,0,0,0,0,0,0,2,7,0,0,2,21,0,0,0,0
1,LeSean McCoy,RB,BUF@BAL,2,0,0,0,0,0,0,7,22,0,0,1,-1,0,0,0,0
1,Doug Martin,RB,LA@OAK,2,0,0,0,0,0,0,4,20,0,0,2,-3,0,0,0,0
1,Jeremy Hill,RB,HOU@NE,2,0,0,0,0,0,0,4,25,0,0,1,6,0,0,0,0
1,Derrick Henry,RB,TEN@MIA,2,0,0,0,0,0,0,10,26,0,0,1,5,0,0,0,0
1,James Develin,RB,HOU@NE,2,0,0,0,0,0,0,0,0,0,0,4,22,0,0,0,0
1,Corey Clement,RB,ATL@PHI,2,0,0,0,0,0,0,5,26,0,0,0,0,0,0,0,0
1,Nick Chubb,RB,PIT@CLE,2,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0
1,Duke Johnson,RB,PIT@CLE,1,0,0,0,0,0,0,5,17,0,0,1,8,0,0,0,0
1,Tyler Ervin,RB,HOU@NE,1,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
1,Trenton Cannon,RB,NYJ@DET,1,0,0,0,0,0,0,6,15,0,0,1,6,0,0,0,0
1,Malcolm Brown,RB,LA@OAK,1,0,0,0,0,0,0,1,5,0,0,2,18,0,0,0,0
1,Devontae Booker,RB,SEA@DEN,1,0,0,0,0,0,0,2,4,0,0,2,11,0,0,0,0
1,Giovani Bernard,RB,CIN@IND,1,0,0,0,0,0,0,1,-2,0,0,1,11,0,0,0,0
1,Shaun Wilson,RB,TB@NO,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
1,Jonathan Williams,RB,TB@NO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,Damien Williams,RB,KC@LAC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,Derek Watt,RB,KC@LAC,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,Jonathan Stewart,RB,JAX@NYG,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0
1,Rod Smith,RB,DAL@CAR,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
1,Jacquizz Rodgers,RB,TB@NO,0,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,0
1,Christine Michael,RB,CIN@IND,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0
1,Tre Madden,RB,SEA@DEN,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
1,Rob Kelley,RB,WAS@ARI,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0
1,Chris Ivory,RB,BUF@BAL,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
1,Corey Grant,RB,JAX@NYG,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
1,Wayne Gallman,RB,JAX@NYG,0,0,0,0,0,0,0,1,-1,0,0,2,9,0,0,0,0
1,Michael Burton,RB,CHI@GB,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
1,LeGarrette Blount,RB,NYJ@DET,0,0,0,0,0,0,0,4,-3,0,0,0,0,0,0,0,0
1,Mike Gillislee,RB,TB@NO,-1,0,0,0,0,0,0,3,9,0,0,0,0,0,0,1,0
2,Todd Gurley,RB,ARI@LA,29,0,0,0,0,0,0,19,42,3,2,3,31,0,0,0,0
2,Melvin Gordon,RB,LAC@BUF,23,0,0,0,0,0,0,9,28,1,0,6,38,2,0,0,0
2,Matt Breida,RB,DET@SF,21,0,0,0,0,0,0,11,138,1,0,3,21,0,0,0,0
2,Corey Clement,RB,PHI@TB,14,0,0,0,0,0,0,6,30,1,0,5,55,0,0,0,0
2,Bilal Powell,RB,MIA@NYJ,13,0,0,0,0,0,0,5,6,0,0,5,74,1,0,0,0
2,Christian McCaffrey,RB,CAR@ATL,13,0,0,0,0,0,0,8,37,0,0,14,102,0,0,0,0
2,Kareem Hunt,RB,KC@PIT,13,0,0,0,0,0,0,18,75,0,0,1,5,1,0,0,0
2,Ezekiel Elliott,RB,NYG@DAL,13,0,0,0,0,0,0,17,78,1,0,5,9,0,0,0,0
2,James Conner,RB,KC@PIT,13,0,0,0,0,0,0,8,17,1,0,5,48,0,1,0,0
2,Marshawn Lynch,RB,OAK@DEN,12,0,0,0,0,0,0,18,65,1,0,2,3,0,0,0,0
2,Kenyan Drake,RB,MIA@NYJ,12,0,0,0,0,0,0,11,53,1,0,4,17,0,0,0,0
2,Alvin Kamara,RB,CLE@NO,11,0,0,0,0,0,0,13,46,0,1,6,53,0,0,0,0
2,Tevin Coleman,RB,CAR@ATL,11,0,0,0,0,0,0,16,107,0,0,4,18,0,0,0,0
2,Phillip Lindsay,RB,OAK@DEN,10,0,0,0,0,0,0,14,107,0,0,1,4,0,0,0,0
2,Carlos Hyde,RB,CLE@NO,10,0,0,0,0,0,0,16,43,1,0,1,7,0,0,0,0
2,Saquon Barkley,RB,NYG@DAL,10,0,0,0,0,0,0,11,28,0,0,14,80,0,0,0,0
2,Chris Thompson,RB,IND@WAS,9,0,0,0,0,0,0,4,1,0,0,13,92,0,0,0,0
2,Chris Ivory,RB,LAC@BUF,9,0,0,0,0,0,0,2,7,1,0,1,30,0,0,0,0
2,Austin Ekeler,RB,LAC@BUF,9,0,0,0,0,0,0,11,77,0,0,3,21,0,0,0,0
2,Javorius Allen,RB,BAL@CIN,9,0,0,0,0,0,0,6,8,1,0,5,36,0,0,0,0
2,James White,RB,NE@JAX,8,0,0,0,0,0,0,4,11,0,0,7,73,0,0,0,0
2,Joe Mixon,RB,BAL@CIN,8,0,0,0,0,0,0,21,84,0,0,1,3,0,0,0,0
2,Royce Freeman,RB,OAK@DEN,8,0,0,0,0,0,0,8,28,1,0,0,0,0,0,0,0
2,Dalvin Cook,RB,MIN@GB,8,0,0,0,0,0,0,10,38,0,0,3,52,0,0,0,0
2,Alex Collins,RB,BAL@CIN,8,0,0,0,0,0,0,9,35,0,0,3,55,0,0,0,0
2,Jay Ajayi,RB,PHI@TB,8,0,0,0,0,0,0,7,23,1,0,1,4,0,0,0,0
2,Alfred Morris,RB,DET@SF,7,0,0,0,0,0,0,14,48,0,0,2,32,0,0,0,0
2,T.J. Yeldon,RB,NE@JAX,6,0,0,0,0,0,0,10,58,0,0,2,13,0,0,0,0
2,Jamaal Williams,RB,MIN@GB,6,0,0,0,0,0,0,16,59,0,0,3,12,0,0,0,0
2,Jordan Wilkins,RB,IND@WAS,6,0,0,0,0,0,0,10,61,0,0,2,3,0,0,0,0
2,Lamar Miller,RB,HOU@TEN,6,0,0,0,0,0,0,14,68,0,0,2,2,0,0,0,0
2,Kerryon Johnson,RB,DET@SF,6,0,0,0,0,0,0,8,43,0,0,5,23,0,0,0,0
2,Jordan Howard,RB,SEA@CHI,6,0,0,0,0,0,0,14,35,0,0,3,33,0,0,0,0
2,Nyheim Hines,RB,IND@WAS,6,0,0,0,0,0,0,4,7,1,0,1,-2,0,0,0,0
2,Corey Grant,RB,NE@JAX,6,0,0,0,0,0,0,4,13,0,0,6,56,0,0,0,0
2,Malcolm Brown,RB,ARI@LA,6,0,0,0,0,0,0,12,46,0,0,0,0,0,1,0,0
2,Adrian Peterson,RB,IND@WAS,5,0,0,0,0,0,0,11,20,0,0,3,30,0,0,0,0
2,LeSean McCoy,RB,LAC@BUF,5,0,0,0,0,0,0,9,39,0,0,4,29,0,0,0,0
2,Derrick Henry,RB,HOU@TEN,5,1,1,8,0,0,0,18,56,0,0,0,0,0,0,0,0
2,Ito Smith,RB,CAR@ATL,4,0,0,0,0,0,0,9,46,0,0,1,8,0,0,0,0
2,Theo Riddick,RB,DET@SF,4,0,0,0,0,0,0,0,0,0,0,9,47,0,0,0,0
2,Dion Lewis,RB,HOU@TEN,4,0,0,0,0,0,0,14,42,0,0,1,1,0,0,0,0
2,David Johnson,RB,ARI@LA,4,0,0,0,0,0,0,13,48,0,0,1,3,0,0,0,0
2,Jacquizz Rodgers,RB,PHI@TB,3,0,0,0,0,0,0,5,13,0,0,3,23,0,0,0,0
2,Rashaad Penny,RB,SEA@CHI,3,0,0,0,0,0,0,10,30,0,0,0,0,0,0,0,0
2,Ty Montgomery,RB,MIN@GB,3,0,0,0,0,0,0,5,31,0,0,1,9,0,0,0,0
2,Sony Michel,RB,NE@JAX,3,0,0,0,0,0,0,10,34,0,0,1,7,0,0,0,0
2,Marlon Mack,RB,IND@WAS,3,0,0,0,0,0,0,10,34,0,0,1,2,0,0,0,0
2,Frank Gore,RB,MIA@NYJ,3,0,0,0,0,0,0,9,25,0,0,1,19,0,0,0,0
2,Isaiah Crowell,RB,MIA@NYJ,3,0,0,0,0,0,0,12,35,0,0,2,4,0,0,0,0
2,Alfred Blue,RB,HOU@TEN,3,0,0,0,0,0,0,7,36,0,0,0,0,0,0,0,0
2,LeGarrette Blount,RB,DET@SF,3,0,0,0,0,0,0,8,38,0,0,1,-3,0,0,0,0
2,Giovani Bernard,RB,BAL@CIN,3,0,0,0,0,0,0,6,27,0,0,4,15,0,0,0,0
2,C.J. Anderson,RB,CAR@ATL,3,0,0,0,0,0,0,3,31,0,0,0,0,0,0,0,0
2,C.J. Prosise,RB,SEA@CHI,2,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0
2,Doug Martin,RB,OAK@DEN,2,0,0,0,0,0,0,7,24,0,0,1,0,0,0,0,0
2,Patrick DiMarco,RB,LAC@BUF,2,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0
2,Chris Carson,RB,SEA@CHI,2,0,0,0,0,0,0,6,24,0,0,0,0,0,0,0,0
2,Rex Burkhead,RB,NE@JAX,2,0,0,0,0,0,0,6,22,0,0,0,0,0,0,0,0
2,Peyton Barber,RB,PHI@TB,2,0,0,0,0,0,0,16,22,0,0,1,7,0,0,0,0
2,Wendell Smallwood,RB,PHI@TB,1,0,0,0,0,0,0,7,28,0,0,1,2,0,0,1,0
2,Roosevelt Nix,RB,KC@PIT,1,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0
2,Latavius Murray,RB,MIN@GB,1,0,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0
2,Kyle Juszczyk,RB,DET@SF,1,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0
2,Andy Janovich,RB,OAK@DEN,1,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
