Week,Player,Position,Game,Points,Pass_Attempts,Pass_Completions,Yards,TD,INT,Two_Pass,Rush_Attempt,Rush_Yards,Rush_TD,Two_Rush,Receptions,Rec_Yards,Rec_TD,Two_Rec,FL,TD
1,Rashard Higgins,WR,PIT@CLE,3,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0
1,Jakeem Grant,WR,TEN@MIA,3,0,0,0,0,0,0,0,0,0,0,5,38,0,0,0,0
1,Jamison Crowder,WR,WAS@ARI,3,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0
1,Jarius Wright,WR,DAL@CAR,2,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0
1,Sammy Watkins,WR,KC@LAC,2,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0
1,Deonte Thompson,WR,DAL@CAR,2,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0
1,Trent Taylor,WR,SF@MIN,2,0,0,0,0,0,0,0,0,0,0,4,28,0,0,0,0
1,Neal Sterling,WR,NYJ@DET,2,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0
1,Paul Richardson,WR,WAS@ARI,2,0,0,0,0,0,0,0,0,0,0,4,22,0,0,0,0
1,Jordy Nelson,WR,LA@OAK,2,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0
1,Zay Jones,WR,BUF@BAL,2,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0
1,Allen Hurns,WR,DAL@CAR,2,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
1,Adam Humphries,WR,TB@NO,2,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0
1,Pierre Garcon,WR,SF@MIN,2,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
1,Taylor Gabriel,WR,CHI@GB,2,0,0,0,0,0,0,0,0,0,0,5,25,0,0,0,0
1,Derek Carrier,WR,LA@OAK,2,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
1,Austin Carr,WR,TB@NO,2,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
1,Tyler Boyd,WR,CIN@IND,2,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0
1,Danny Amendola,WR,TEN@MIA,2,0,0,0,0,0,0,0,0,0,0,4,26,0,0,0,0
1,Laquon Treadwell,WR,SF@MIN,1,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
1,Torrey Smith,WR,DAL@CAR,1,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
1,Tajae Sharpe,WR,TEN@MIA,1,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
1,Mohamed Sanu,WR,ATL@PHI,1,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0
1,Chester Rogers,WR,CIN@IND,1,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0
1,Seth Roberts,WR,LA@OAK,1,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
1,Cordarrelle Patterson,WR,HOU@NE,1,0,0,0,0,0,0,3,13,0,0,1,6,0,0,0,0
1,Zach Pascal,WR,CIN@IND,1,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0
1,Donte Moncrief,WR,JAX@NYG,1,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
1,Anthony Miller,WR,CHI@GB,1,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
1,Andre Holmes,WR,BUF@BAL,1,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
1,Chris Hogan,WR,HOU@NE,1,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
1,Josh Doctson,WR,WAS@ARI,1,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
1,Chris Conley,WR,KC@LAC,1,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
1,DeAndre Carter,WR,ATL@PHI,1,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
1,Travis Benjamin,WR,KC@LAC,1,0,0,0,0,0,0,1,19,0,0,1,1,0,0,0,0
1,Kelvin Benjamin,WR,BUF@BAL,1,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
1,Terrance Williams,WR,DAL@CAR,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
1,Ryan Switzer,WR,PIT@CLE,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
1,Andre Roberts,WR,NYJ@DET,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
1,D.J. Moore,WR,DAL@CAR,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
1,Chris Moore,WR,BUF@BAL,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
1,Christian Kirk,WR,WAS@ARI,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
1,Jeremy Kerley,WR,BUF@BAL,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0
1,TJ Jones,WR,NYJ@DET,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
1,Justin Hunter,WR,PIT@CLE,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
1,Michael Gallup,WR,DAL@CAR,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
1,Amari Cooper,WR,LA@OAK,0,0,0,0,0,0,0,1,9,0,0,1,9,0,0,0,0
1,Jaron Brown,WR,SEA@DEN,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
1,Tavon Austin,WR,DAL@CAR,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,Riley McCarron,WR,HOU@NE,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,J.J. Jones,WR,KC@LAC,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,Kaelin Clay,WR,JAX@NYG,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,Stefon Diggs,WR,MIN@GB,26,0,0,0,0,0,0,1,1,0,0,9,128,2,1,0,0
2,A.J. Green,WR,BAL@CIN,24,0,0,0,0,0,0,0,0,0,0,5,69,3,0,0,0
2,Michael Thomas,WR,CLE@NO,19,0,0,0,0,0,0,0,0,0,0,12,89,2,0,1,0
2,Adam Thielen,WR,MIN@GB,19,0,0,0,0,0,0,0,0,0,0,12,131,1,0,0,0
2,JuJu Smith-Schuster,WR,KC@PIT,18,0,0,0,0,0,0,0,0,0,0,13,121,1,0,0,0
2,DeSean Jackson,WR,PHI@TB,18,0,0,0,0,0,0,0,0,0,0,4,129,1,0,0,0
2,DeAndre Hopkins,WR,HOU@TEN,17,0,0,0,0,0,0,0,0,0,0,6,110,1,0,0,0
2,Will Fuller,WR,HOU@TEN,17,0,0,0,0,0,0,0,0,0,0,8,113,1,0,0,0
2,Keelan Cole,WR,NE@JAX,17,0,0,0,0,0,0,0,0,0,0,7,116,1,0,0,0
2,Chris Hogan,WR,NE@JAX,16,0,0,0,0,0,0,0,0,0,0,3,42,2,0,0,0
2,Tyreek Hill,WR,KC@PIT,15,0,0,0,0,0,0,0,0,0,0,5,90,1,0,0,0
2,Brandin Cooks,WR,ARI@LA,15,0,0,0,0,0,0,0,0,0,0,7,159,0,0,0,0
2,John Brown,WR,BAL@CIN,15,0,0,0,0,0,0,0,0,0,0,4,92,1,0,0,0
2,Tyler Boyd,WR,BAL@CIN,15,0,0,0,0,0,0,0,0,0,0,6,91,1,0,0,0
2,Dede Westbrook,WR,NE@JAX,14,0,0,0,0,0,0,1,-6,0,0,4,82,1,0,0,0
2,T.Y. Hilton,WR,IND@WAS,14,0,0,0,0,0,0,0,0,0,0,7,83,1,0,0,0
2,Kenny Golladay,WR,DET@SF,14,0,0,0,0,0,0,0,0,0,0,6,89,1,0,0,0
2,Antonio Callaway,WR,CLE@NO,14,0,0,0,0,0,0,2,7,0,0,3,81,1,0,0,0
2,Tavon Austin,WR,NYG@DAL,14,0,0,0,0,0,0,1,15,0,0,2,79,1,0,0,0
2,Nelson Agholor,WR,PHI@TB,14,0,0,0,0,0,0,1,2,0,0,8,88,1,0,0,0
2,Sammy Watkins,WR,KC@PIT,13,0,0,0,0,0,0,1,31,0,0,6,100,0,0,0,0
2,Mike Evans,WR,PHI@TB,13,0,0,0,0,0,0,0,0,0,0,10,83,1,0,1,0
2,Jarius Wright,WR,CAR@ATL,12,0,0,0,0,0,0,0,0,0,0,5,62,1,0,0,0
2,Calvin Ridley,WR,CAR@ATL,12,0,0,0,0,0,0,1,3,0,0,4,64,1,0,0,0
2,Tyler Lockett,WR,SEA@CHI,12,0,0,0,0,0,0,0,0,0,0,5,60,1,0,0,0
2,Davante Adams,WR,MIN@GB,12,0,0,0,0,0,0,0,0,0,0,8,64,1,0,0,0
2,D.J. Moore,WR,CAR@ATL,11,0,0,0,0,0,0,1,7,0,0,1,51,1,0,0,0
2,Marvin Jones,WR,DET@SF,11,0,0,0,0,0,0,0,0,0,0,4,54,1,0,0,0
2,Chris Godwin,WR,PHI@TB,11,0,0,0,0,0,0,0,0,0,0,5,56,1,0,0,0
2,Amari Cooper,WR,OAK@DEN,11,0,0,0,0,0,0,0,0,0,0,10,116,0,0,0,0
2,Golden Tate,WR,DET@SF,10,0,0,0,0,0,0,1,9,0,0,7,109,0,0,0,0
2,Seth Roberts,WR,OAK@DEN,10,0,0,0,0,0,0,0,0,0,0,3,43,1,0,0,0
2,Albert Wilson,WR,MIA@NYJ,9,0,0,0,0,0,0,2,8,0,0,3,37,1,0,0,0
2,Taywan Taylor,WR,HOU@TEN,9,0,0,0,0,0,0,0,0,0,0,3,32,1,0,0,0
2,Torrey Smith,WR,CAR@ATL,9,0,0,0,0,0,0,0,0,0,0,3,33,1,0,0,0
2,Emmanuel Sanders,WR,OAK@DEN,9,0,0,0,0,0,0,0,0,0,0,4,96,0,0,0,0
2,Donte Moncrief,WR,NE@JAX,9,0,0,0,0,0,0,0,0,0,0,4,34,1,0,0,0
